"              ELEM","                 X","                 Y","                 Z","              ROCK","              PRES","              TEMP","             SAT_G","             SAT_L","         X_WATER_G","           X_AIR_G","         X_WATER_L","           X_AIR_L","             REL_G","             REL_L","           PCAP_GL","             DEN_G","             DEN_L","               POR"
"                  ","               (M)","               (M)","               (M)","                  ","              (PA)","           (DEC-C)","               (-)","               (-)","               (-)","               (-)","               (-)","               (-)","               (-)","               (-)","              (PA)","         (KG/M**3)","         (KG/M**3)","               (-)"
"TIME [sec]  0.31560000E+08"
"             A1139",  0.18190000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003828676E+006,  0.27940257306E+002,  0.19110855913E+000,  0.80889144087E+000,  0.23786257527E-001,  0.97621374247E+000,  0.99998452452E+000,  0.15475480161E-004,  0.88604514382E+000,  0.11395485618E+000, -0.94636752284E+004,  0.11408384616E+001,  0.99636014092E+003,  0.10000000000E+000
"             A1140",  0.18870000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003808926E+006,  0.26988102379E+002,  0.19178047050E+000,  0.80821952950E+000,  0.22478670072E-001,  0.97752132993E+000,  0.99998449176E+000,  0.15508236506E-004,  0.88665959801E+000,  0.11334040199E+000, -0.94892561118E+004,  0.11453459572E+001,  0.99662800399E+003,  0.10000000000E+000
"             A1141",  0.19570000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003788751E+006,  0.26101882935E+002,  0.19243535258E+000,  0.80756464742E+000,  0.21319352817E-001,  0.97868064718E+000,  0.99998446268E+000,  0.15537319870E-004,  0.88725521928E+000,  0.11274478072E+000, -0.95142003771E+004,  0.11495288254E+001,  0.99686968461E+003,  0.10000000000E+000
"             A1142",  0.20280000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003768144E+006,  0.25279236790E+002,  0.19307028500E+000,  0.80692971500E+000,  0.20290988484E-001,  0.97970901152E+000,  0.99998443685E+000,  0.15563149735E-004,  0.88782964329E+000,  0.11217035671E+000, -0.95383959754E+004,  0.11534019482E+001,  0.99708732509E+003,  0.10000000000E+000
"             A1143",  0.21010000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003747103E+006,  0.24517800704E+002,  0.19368246813E+000,  0.80631753187E+000,  0.19378593806E-001,  0.98062140619E+000,  0.99998441391E+000,  0.15586090769E-004,  0.88838065753E+000,  0.11161934247E+000, -0.95617352581E+004,  0.11569794165E+001,  0.99728292387E+003,  0.10000000000E+000
"             A1144",  0.21750000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003725626E+006,  0.23815173810E+002,  0.19426931312E+000,  0.80573068688E+000,  0.18569131170E-001,  0.98143086883E+000,  0.99998439354E+000,  0.15606461674E-004,  0.88890627404E+000,  0.11109372596E+000, -0.95841184341E+004,  0.11602748493E+001,  0.99745834916E+003,  0.10000000000E+000
"             A1145",  0.22500000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003703717E+006,  0.23168903443E+002,  0.19482851308E+000,  0.80517148692E+000,  0.17851207412E-001,  0.98214879259E+000,  0.99998437546E+000,  0.15624542068E-004,  0.88940478311E+000,  0.11059521689E+000, -0.96054563195E+004,  0.11633015817E+001,  0.99761534627E+003,  0.10000000000E+000
"             A1146",  0.23280000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003681382E+006,  0.22576494876E+002,  0.19535808868E+000,  0.80464191132E+000,  0.17214843515E-001,  0.98278515649E+000,  0.99998435942E+000,  0.15640577752E-004,  0.88987478304E+000,  0.11012521696E+000, -0.96256721181E+004,  0.11660727213E+001,  0.99775553958E+003,  0.10000000000E+000
"             A1147",  0.24070000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003658630E+006,  0.22035430056E+002,  0.19585641494E+000,  0.80414358506E+000,  0.16651286667E-001,  0.98334871333E+000,  0.99998434521E+000,  0.15654785030E-004,  0.89031519307E+000,  0.10968480693E+000, -0.96447024878E+004,  0.11686011456E+001,  0.99788043359E+003,  0.10000000000E+000
"             A1148",  0.24870000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003635475E+006,  0.21543135773E+002,  0.19632228336E+000,  0.80367771664E+000,  0.16152798591E-001,  0.98384720141E+000,  0.99998433264E+000,  0.15667355722E-004,  0.89072529778E+000,  0.10927470222E+000, -0.96624999581E+004,  0.11708997204E+001,  0.99799142648E+003,  0.10000000000E+000
"             A1149",  0.25700000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003611933E+006,  0.21097027367E+002,  0.19675488506E+000,  0.80324511494E+000,  0.15712548105E-001,  0.98428745189E+000,  0.99998432154E+000,  0.15678459629E-004,  0.89110472247E+000,  0.10889527753E+000, -0.96790323301E+004,  0.11729811530E+001,  0.99808980684E+003,  0.10000000000E+000
"             A1150",  0.26540000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003588022E+006,  0.20694479886E+002,  0.19715385016E+000,  0.80284614984E+000,  0.15324449422E-001,  0.98467555058E+000,  0.99998431175E+000,  0.15688248419E-004,  0.89145345925E+000,  0.10854654075E+000, -0.96942842192E+004,  0.11748581741E+001,  0.99817676757E+003,  0.10000000000E+000
"             A1151",  0.27390000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003563765E+006,  0.20332858141E+002,  0.19751922113E+000,  0.80248077887E+000,  0.14983077794E-001,  0.98501692221E+000,  0.99998430314E+000,  0.15696857604E-004,  0.89177183678E+000,  0.10822816322E+000, -0.97082560762E+004,  0.11765434348E+001,  0.99825340699E+003,  0.10000000000E+000
"             A1152",  0.28270000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003539186E+006,  0.20009524995E+002,  0.19785143620E+000,  0.80214856380E+000,  0.14683577284E-001,  0.98531642272E+000,  0.99998429559E+000,  0.15704408750E-004,  0.89206050046E+000,  0.10793949954E+000, -0.97209635770E+004,  0.11780494982E+001,  0.99832073549E+003,  0.10000000000E+000
"             A1153",  0.29160000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003514311E+006,  0.19721845282E+002,  0.19815130871E+000,  0.80184869129E+000,  0.14421577634E-001,  0.98557842237E+000,  0.99998428899E+000,  0.15711011485E-004,  0.89232039101E+000,  0.10767960899E+000, -0.97324368558E+004,  0.11793888451E+001,  0.99837968305E+003,  0.10000000000E+000
"             A1154",  0.30080000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003489168E+006,  0.19467207325E+002,  0.19841998091E+000,  0.80158001909E+000,  0.14193138474E-001,  0.98580686153E+000,  0.99998428324E+000,  0.15716764833E-004,  0.89255270238E+000,  0.10744729762E+000, -0.97427187510E+004,  0.11805737924E+001,  0.99843110339E+003,  0.10000000000E+000
"             A1155",  0.31010000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003463786E+006,  0.19243030926E+002,  0.19865888547E+000,  0.80134111453E+000,  0.13994690471E-001,  0.98600530953E+000,  0.99998427824E+000,  0.15721758639E-004,  0.89275884812E+000,  0.10724115188E+000, -0.97518633409E+004,  0.11816164699E+001,  0.99847578069E+003,  0.10000000000E+000
