"             ELEM1","             ELEM2","                 X","                 Y","                 Z","              HEAT","              FLOW","            FLOW_G","            FLOW_L"
"                  ","                  ","               (M)","               (M)","               (M)","               (W)","            (KG/S)","            (KG/S)","            (KG/S)"
"TIME [sec]  0.31560000E+08"
"             A1169","             A1170",  0.46948394090E+002,  0.00000000000E+000, -0.22500000000E+001, -0.85198075555E-001, -0.89118963142E-006, -0.32841634639E-006, -0.56277328503E-006
"             A1170","             A1171",  0.48233237341E+002,  0.00000000000E+000, -0.22500000000E+001, -0.84908559751E-001, -0.89085742036E-006, -0.32829665600E-006, -0.56256076436E-006
"             A1171","             A1172",  0.49548083507E+002,  0.00000000000E+000, -0.22500000000E+001, -0.84747078468E-001, -0.89051374256E-006, -0.32817108214E-006, -0.56234266042E-006
"             A1172","             A1173",  0.50892927639E+002,  0.00000000000E+000, -0.22500000000E+001, -0.84650242401E-001, -0.89015578497E-006, -0.32803940264E-006, -0.56211638233E-006
"             A1173","             A1174",  0.52262826780E+002,  0.00000000000E+000, -0.22500000000E+001, -0.84584782955E-001, -0.88978171753E-006, -0.32790136891E-006, -0.56188034862E-006
"             A1174","             A1175",  0.53657667058E+002,  0.00000000000E+000, -0.22500000000E+001, -0.84533702096E-001, -0.88939028455E-006, -0.32775673540E-006, -0.56163354915E-006
"             A1175","             A1176",  0.55087458541E+002,  0.00000000000E+000, -0.22500000000E+001, -0.84488485532E-001, -0.88898048190E-006, -0.32760523996E-006, -0.56137524194E-006
"             A1176","             A1177",  0.56547352324E+002,  0.00000000000E+000, -0.22500000000E+001, -0.84444914160E-001, -0.88855145131E-006, -0.32744661857E-006, -0.56110483273E-006
"             A1177","             A1178",  0.58032202353E+002,  0.00000000000E+000, -0.22500000000E+001, -0.84401050117E-001, -0.88810236927E-006, -0.32728059240E-006, -0.56082177688E-006
"             A1178","             A1179",  0.59551988775E+002,  0.00000000000E+000, -0.22500000000E+001, -0.84355873790E-001, -0.88763244734E-006, -0.32710688201E-006, -0.56052556534E-006
"             A1179","             A1180",  0.61106835692E+002,  0.00000000000E+000, -0.22500000000E+001, -0.84308959225E-001, -0.88714087698E-006, -0.32692519426E-006, -0.56021568272E-006
"             A1180","             A1181",  0.62691676139E+002,  0.00000000000E+000, -0.22500000000E+001, -0.84260019397E-001, -0.88662683975E-006, -0.32673522992E-006, -0.55989160984E-006
"             A1181","             A1182",  0.64306525165E+002,  0.00000000000E+000, -0.22500000000E+001, -0.84208928735E-001, -0.88608948772E-006, -0.32653667719E-006, -0.55955281052E-006
"             A1182","             A1183",  0.65956315840E+002,  0.00000000000E+000, -0.22500000000E+001, -0.84155555565E-001, -0.88552797915E-006, -0.32632922632E-006, -0.55919875283E-006
"             A1183","             A1184",  0.67646105299E+002,  0.00000000000E+000, -0.22500000000E+001, -0.84099807795E-001, -0.88494144298E-006, -0.32611255634E-006, -0.55882888664E-006
"             A1184","             A1185",  0.69370950624E+002,  0.00000000000E+000, -0.22500000000E+001, -0.84041597154E-001, -0.88432896203E-006, -0.32588632927E-006, -0.55844263276E-006
"             A1185","             A1186",  0.71125794844E+002,  0.00000000000E+000, -0.22500000000E+001, -0.83980830288E-001, -0.88368962983E-006, -0.32565021092E-006, -0.55803941891E-006
"             A1186","             A1187",  0.72920534054E+002,  0.00000000000E+000, -0.22500000000E+001, -0.83917410689E-001, -0.88302249736E-006, -0.32540385174E-006, -0.55761864563E-006
"             A1187","             A1188",  0.74755381334E+002,  0.00000000000E+000, -0.22500000000E+001, -0.83851290935E-001, -0.88232659480E-006, -0.32514689420E-006, -0.55717970060E-006
"             A1188","             A1189",  0.76625170773E+002,  0.00000000000E+000, -0.22500000000E+001, -0.83782340830E-001, -0.88160095082E-006, -0.32487898027E-006, -0.55672197055E-006
"             A1189","             A1190",  0.78534964472E+002,  0.00000000000E+000, -0.22500000000E+001, -0.83710428158E-001, -0.88084454043E-006, -0.32459973240E-006, -0.55624480802E-006
"             A1190","             A1191",  0.80484752543E+002,  0.00000000000E+000, -0.22500000000E+001, -0.83635544701E-001, -0.88005634465E-006, -0.32430877459E-006, -0.55574757006E-006
"             A1191","             A1192",  0.82479503001E+002,  0.00000000000E+000, -0.22500000000E+001, -0.83557514562E-001, -0.87923531070E-006, -0.32400571974E-006, -0.55522959096E-006
"             A1192","             A1193",  0.84514327073E+002,  0.00000000000E+000, -0.22500000000E+001, -0.83476253514E-001, -0.87838036305E-006, -0.32369017091E-006, -0.55469019214E-006
"             A1193","             A1194",  0.86589091689E+002,  0.00000000000E+000, -0.22500000000E+001, -0.83391684964E-001, -0.87749039996E-006, -0.32336172250E-006, -0.55412867745E-006
"             A1194","             A1195",  0.88708863011E+002,  0.00000000000E+000, -0.22500000000E+001, -0.83303656515E-001, -0.87656429914E-006, -0.32301996114E-006, -0.55354433800E-006
"             A1195","             A1196",  0.90873587493E+002,  0.00000000000E+000, -0.22500000000E+001, -0.83212112685E-001, -0.87560091849E-006, -0.32266446683E-006, -0.55293645166E-006
"             A1196","             A1197",  0.93083418696E+002,  0.00000000000E+000, -0.22500000000E+001, -0.83116912774E-001, -0.87459908420E-006, -0.32229480793E-006, -0.55230427627E-006
"             A1197","             A1198",  0.95343100636E+002,  0.00000000000E+000, -0.22500000000E+001, -0.83017919237E-001, -0.87355762657E-006, -0.32191055491E-006, -0.55164707166E-006
"             A1198","             A1199",  0.97647943652E+002,  0.00000000000E+000, -0.22500000000E+001, -0.82915085154E-001, -0.87247531440E-006, -0.32151125607E-006, -0.55096405833E-006
